mark_id,student_id,class_name,gender,subject,test_name,date_taken,marks_obtained,total_marks,percentage,previous_subject_percentage,subject_average,overall_average,attendance_percentage,risk_label,class,current_score,attendance,overall_avg,subject_avg,instruction,guidance
200.0,100.0,Electrical,Male,Programming,Programming Assessment 1,2026-03-31,45.0,50.0,90.0,,91.0,91.0,98.0,no_risk,,,,,,,
,,,,Physics,,,,,,,,,,subject_weakness,8A,50.0,76.0,82.0,,"Class: 8A, Subject: Physics, Score: 50%, Attendance: 76%, Overall avg: 82%, Subject avg: 50%.",Student performing well (82%) except Physics (50% average). Need Physics specialization. PLAN: 1) One-on-one Physics coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Physics 5) Weekly check-ins to track Physics improvement.
,,,,Math,,,,,,,,,,subject_weakness,10A,53.0,89.0,76.0,,"Class: 10A, Subject: Math, Score: 53%, Attendance: 89%, Overall avg: 76%, Subject avg: 53%.",Student excels generally (76% overall) but struggles in Math (53% average). Math seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Math materials 4) Bi-weekly progress tests 5) Peer mentoring in Math.
,,,,Social Studies,,,,,,,,,,subject_weakness,10B,46.0,78.0,75.0,,"Class: 10B, Subject: Social Studies, Score: 46%, Attendance: 78%, Overall avg: 75%, Subject avg: 46%.",Clear strength-weakness pattern: 75% average overall but only 46% in Social Studies. Social Studies is holding back potential. CORRECTIVE MEASURES: 1) Immediate Social Studies tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,History,,,,,,,,,,no_risk,8A,88.0,90.0,85.0,,"Class: 8A, Subject: History, Score: 88%, Attendance: 90%, Overall avg: 85%.",✅ History mastery shown (88% with 90% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in History 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,English,,,,,,,,,,subject_weakness,10B,53.0,75.0,86.0,,"Class: 10B, Subject: English, Score: 53%, Attendance: 75%, Overall avg: 86%, Subject avg: 53%.",Student excels generally (86% overall) but struggles in English (53% average). English seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified English materials 4) Bi-weekly progress tests 5) Peer mentoring in English.
,,,,History,,,,,,,,,,subject_weakness,10A,43.0,76.0,72.0,,"Class: 10A, Subject: History, Score: 43%, Attendance: 76%, Overall avg: 72%, Subject avg: 43%.",Student performing well (72%) except History (43% average). Need History specialization. PLAN: 1) One-on-one History coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for History 5) Weekly check-ins to track History improvement.
,,,,Chemistry,,,,,,,,,,gradual_decline,10B,,69.0,,,"Class: 10B, Subject: Chemistry, Scores history: 80% → 70% → 60%. Attendance: 69%, Overall avg: 51%, Subject avg: 70%.",Chemistry scores declining steadily: 80% → 70% → 60%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Physics,,,,,,,,,,sudden_drop,9B,62.0,60.0,,,"Class: 9B, Subject: Physics, Score: 62% (previous: 77%), Attendance: 60%, Overall avg: 78%, Subject avg: 69%.",Amit's Physics dropped 15 points suddenly (77% → 62%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Chemistry,,,,,,,,,,subject_weakness,8B,50.0,88.0,84.0,,"Class: 8B, Subject: Chemistry, Score: 50%, Attendance: 88%, Overall avg: 84%, Subject avg: 50%.",Student excels generally (84% overall) but struggles in Chemistry (50% average). Chemistry seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Chemistry materials 4) Bi-weekly progress tests 5) Peer mentoring in Chemistry.
,,,,History,,,,,,,,,,subject_weakness,10B,55.0,75.0,84.0,,"Class: 10B, Subject: History, Score: 55%, Attendance: 75%, Overall avg: 84%, Subject avg: 55%.",Strong overall student (84% average) but History is weak point (55%). Clear subject gap requiring focused intervention. STRATEGY: 1) Dedicated History tutor immediately 2) Daily History practice (minimum 45 minutes) 3) Group sessions focusing only on History 4) Weekly History-only assessments 5) Identify and fix conceptual gaps.
,,,,Chemistry,,,,,,,,,,subject_weakness,10B,58.0,75.0,80.0,,"Class: 10B, Subject: Chemistry, Score: 58%, Attendance: 75%, Overall avg: 80%, Subject avg: 58%.",Clear strength-weakness pattern: 80% average overall but only 58% in Chemistry. Chemistry is holding back potential. CORRECTIVE MEASURES: 1) Immediate Chemistry tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
